,importance
r_1,0.13813617825508118
d_1,0.039320871233940125
g2_1,0.035696931183338165
g1_1,0.02706439234316349
c_2,0.017006848007440567
d_20,0.011643733829259872
d_18,0.01131025142967701
r_20,0.010961638763546944
c_4,0.010070784017443657
r_18,0.00958307832479477
c_19,0.009291697293519974
c_18,0.009167988784611225
c_24,0.00907888077199459
c_22,0.008884397335350513
c_6,0.008792300708591938
c_8,0.008671317249536514
c_26,0.008660177700221539
d_16,0.008615514263510704
c_1,0.008558706380426884
c_20,0.008527824655175209
c_17,0.00852019339799881
c_3,0.008506817743182182
r_15,0.008391737006604671
c_21,0.008371510542929173
c_23,0.00836666114628315
c_25,0.00833877269178629
c_12,0.00820102822035551
c_27,0.008191348984837532
d_15,0.008185386657714844
c_5,0.008072230964899063
c_15,0.007989564910531044
c_10,0.007941067218780518
c_14,0.007880463264882565
c_13,0.00787108950316906
c_9,0.007839484140276909
r_17,0.007798709906637669
c_11,0.007730821613222361
r_19,0.007709935773164034
c_16,0.007594472263008356
g1_20,0.0075682285241782665
g2_20,0.007487900089472532
r_6,0.007437590975314379
d_17,0.007347600068897009
g2_13,0.007300414144992828
g1_13,0.007128874771296978
d_19,0.007122887764126062
d_14,0.0070944130420684814
r_12,0.0070655676536262035
r_9,0.007030919194221497
g1_14,0.007024239283055067
g2_19,0.007010127417743206
r_8,0.006999013479799032
r_4,0.006998331286013126
r_16,0.006997648626565933
g1_16,0.006975185126066208
c_7,0.006948642432689667
g2_16,0.006909293122589588
g2_18,0.006906595081090927
d_12,0.006892670877277851
r_3,0.006883332971483469
g1_12,0.006865526549518108
r_14,0.006860788911581039
r_5,0.0068300338461995125
r_7,0.0067783319391310215
d_10,0.006727170664817095
g2_9,0.006715085823088884
g2_4,0.006708667613565922
g2_12,0.006707820575684309
r_11,0.006692272610962391
d_6,0.006689777597784996
g1_17,0.006677723489701748
g1_19,0.006646766327321529
g1_15,0.006646560970693827
g2_15,0.006646445021033287
r_10,0.006591111421585083
d_3,0.006589713506400585
g2_17,0.006588582415133715
g2_7,0.006517468951642513
g2_14,0.00650865538045764
g1_18,0.006476415321230888
r_2,0.006460532546043396
g1_8,0.006376903969794512
g1_5,0.006370814982801676
g2_8,0.006360808853060007
g1_11,0.006309044547379017
g1_10,0.006294540129601955
g2_5,0.0062940423376858234
d_2,0.006291329860687256
g2_6,0.006287092342972755
d_13,0.006274117156863213
d_4,0.006265487056225538
g2_11,0.0061986446380615234
g1_4,0.006181254982948303
g2_2,0.006179769989103079
g2_10,0.006153453607112169
d_11,0.0061212265864014626
d_5,0.006082971580326557
r_13,0.006069577299058437
g1_7,0.006020431872457266
g1_9,0.0060150460340082645
g1_6,0.005924955476075411
d_8,0.005924808792769909
d_7,0.005775177851319313
g2_3,0.005761545617133379
g1_2,0.005736105144023895
g1_3,0.005622390657663345
d_9,0.005508745089173317
