,count,mean,std,min,25%,50%,75%,max
g1_1,6620.0,2.709,1.858,1.05,1.667,2.15,2.8,23.0
g1_2,6620.0,14.424,10.701,0.0,6.0,13.0,21.0,52.0
g1_3,6620.0,10.486,8.384,0.0,4.0,9.0,15.0,47.0
g1_4,6620.0,24.91,18.175,0.0,10.0,22.0,36.0,94.0
g1_5,6620.0,10.988,5.636,1.0,6.0,11.0,16.0,20.0
g1_6,6620.0,13.412,10.09,0.0,5.0,12.0,20.0,61.0
g1_7,6620.0,10.161,7.495,0.0,4.0,9.0,15.0,43.0
g1_8,6620.0,10.745,7.964,0.0,4.0,9.0,16.0,48.0
g1_9,6620.0,14.169,9.867,0.0,6.0,13.0,21.0,52.0
g1_10,6620.0,3.251,8.481,-27.0,-2.0,1.0,7.0,48.0
g1_11,6620.0,-3.424,8.581,-38.0,-8.0,-2.0,1.0,31.0
g1_12,6620.0,-0.173,15.036,-65.0,-8.25,-1.0,5.0,76.0
g1_13,6620.0,3.154,0.931,0.0,2.499,2.905,3.756,5.0
g1_14,6620.0,3.044,0.826,0.173,2.494,2.765,3.491,4.994
g1_15,6620.0,10.269,3.761,0.0,8.513,10.54,12.501,20.502
g1_16,6620.0,4.737,2.127,0.0,3.39,4.676,6.072,12.521
g1_17,6620.0,1.121,0.581,0.0,0.736,1.079,1.473,3.722
g1_18,6620.0,1.16,0.567,0.0,0.78,1.156,1.533,3.186
g1_19,6620.0,0.205,0.273,0.0,0.011,0.065,0.315,1.0
g1_20,6620.0,0.059,0.152,0.0,0.002,0.006,0.029,1.0
g2_1,6620.0,4.81,3.937,0.95,2.5,3.5,5.5,41.0
g2_2,6620.0,15.114,10.837,0.0,6.0,14.0,22.0,55.0
g2_3,6620.0,10.019,8.252,0.0,3.0,8.0,15.0,47.0
g2_4,6620.0,25.132,18.191,0.0,11.0,22.0,36.0,97.0
g2_5,6620.0,11.025,5.667,1.0,6.0,11.0,16.0,20.0
g2_6,6620.0,14.041,10.205,0.0,6.0,13.0,20.0,61.0
g2_7,6620.0,10.634,7.564,0.0,4.0,10.0,16.0,43.0
g2_8,6620.0,10.253,7.832,0.0,4.0,9.0,15.0,45.0
g2_9,6620.0,13.5,9.722,0.0,5.0,12.0,20.0,50.0
g2_10,6620.0,3.407,8.75,-27.0,-2.0,1.0,7.0,47.0
g2_11,6620.0,-3.247,8.313,-36.0,-8.0,-2.0,1.0,31.0
g2_12,6620.0,0.16,15.026,-63.0,-8.0,-1.0,6.0,78.0
g2_13,6620.0,3.183,0.929,0.0,2.5,2.931,3.779,5.0
g2_14,6620.0,3.05,0.824,0.216,2.5,2.769,3.498,4.996
g2_15,6620.0,4.841,2.151,0.0,3.471,4.789,6.222,13.428
g2_16,6620.0,1.151,0.588,0.0,0.76,1.111,1.5,3.722
g2_17,6620.0,1.125,0.553,0.0,0.759,1.126,1.482,3.197
g2_18,6620.0,0.206,0.274,0.0,0.011,0.067,0.315,1.0
g2_19,6620.0,0.058,0.151,0.0,0.002,0.006,0.029,1.0
g2_20,6620.0,0.449,0.139,0.0,0.348,0.483,0.554,1.0
c_1,6620.0,1.89,0.227,0.0,1.74,1.9,2.04,2.91
c_2,6620.0,1.564,4.064,-10.0,-1.0,1.0,4.0,13.0
c_3,6620.0,1.559,4.057,-10.0,-1.0,1.0,4.0,13.0
c_4,6620.0,3.122,3.939,-6.0,0.0,2.0,6.0,18.0
c_5,6620.0,0.184,0.387,0.0,0.0,0.0,0.0,1.0
c_6,6620.0,0.201,0.401,0.0,0.0,0.0,0.0,1.0
c_7,6620.0,0.184,0.387,0.0,0.0,0.0,0.0,1.0
c_8,6620.0,0.201,0.401,0.0,0.0,0.0,0.0,1.0
c_9,6620.0,1.946,1.217,0.0,0.901,2.013,2.983,5.335
c_10,6620.0,4.405,8.497,-28.0,0.0,3.0,9.0,41.0
c_11,6620.0,-4.628,9.094,-47.0,-9.0,-3.0,1.0,33.0
c_12,6620.0,-0.223,14.471,-63.0,-7.0,0.0,6.0,74.0
c_13,6620.0,-0.088,7.467,-33.0,-4.0,0.0,3.0,38.0
c_14,6620.0,-0.092,6.378,-29.0,-3.0,0.0,3.0,23.0
c_15,6620.0,0.112,6.343,-28.0,-3.0,0.0,3.0,34.0
c_16,6620.0,0.128,7.421,-40.0,-3.0,0.0,4.0,36.0
c_17,6620.0,6.498,12.176,-39.0,-1.0,4.0,13.0,75.0
c_18,6620.0,-6.83,12.974,-74.0,-13.0,-4.0,1.0,42.0
c_19,6620.0,-0.332,21.498,-101.0,-10.0,0.0,10.0,108.0
c_20,6620.0,-0.029,1.221,-4.684,-0.716,0.0,0.655,4.821
c_21,6620.0,-0.007,1.068,-4.32,-0.531,0.0,0.491,4.396
c_22,6620.0,-0.004,0.663,-2.513,-0.44,0.0,0.411,2.987
c_23,6620.0,0.009,0.683,-3.119,-0.407,0.001,0.45,2.831
c_24,6620.0,0.0,0.323,-2.0,0.0,0.0,0.0,2.0
c_25,6620.0,-0.228,3.391,-15.203,-2.222,-0.119,1.809,12.563
c_26,6620.0,-0.104,1.944,-9.182,-1.293,-0.012,1.035,8.21
c_27,6620.0,0.0,0.093,-0.75,-0.054,0.0,0.055,0.667
g1_21,6620.0,0.449,0.139,0.0,0.349,0.483,0.555,1.0
g2_21,6620.0,3.899,1.093,2.5,3.25,3.5,4.0,19.0
c_28,6620.0,1.917,0.302,0.0,1.71,1.85,2.02,4.33
