f1,f2,corr,abs_corr
g1_13,g1_14,0.9764761362273312,0.9764761362273312
g2_13,g2_14,0.9758898122099016,0.9758898122099016
c_20,c_21,0.9738805394623382,0.9738805394623382
g2_2,g2_4,0.9644615721952735,0.9644615721952735
g1_2,g1_4,0.9628977246307749,0.9628977246307749
c_12,c_19,0.9567123956530283,0.9567123956530283
g1_2,g1_6,0.9422992710126559,0.9422992710126559
g2_2,g2_6,0.941811292663023,0.941811292663023
g1_3,g1_4,0.9388113946004277,0.9388113946004277
c_11,c_18,0.9383173536316398,0.9383173536316398
g2_3,g2_4,0.937862438043454,0.937862438043454
c_10,c_17,0.9363129556552054,0.9363129556552054
g2_4,g2_6,0.9257930935923171,0.9257930935923171
g1_4,g1_6,0.9246517307802613,0.9246517307802613
c_19,c_21,0.9192504693407343,0.9192504693407343
g2_3,g2_8,0.9176856947119529,0.9176856947119529
g1_3,g1_8,0.9161020794095845,0.9161020794095845
g2_4,g2_8,0.9133787934509409,0.9133787934509409
g1_4,g1_8,0.9125246454739057,0.9125246454739057
c_12,c_21,0.9118652822417905,0.9118652822417905
